,,0
35,4,0.5221085
35,5,0.67152464
35,6,0.3611605
35,7,0.6604005999999999
35,8,0.6958414
35,9,0.47940624
35,10,0.39072198
35,11,0.39479559999999997
35,12,0.40361488
35,13,0.7010824999999999
35,14,0.68868643
35,15,0.6390078
36,0,0.82605976
36,1,0.64286757
36,2,0.44395852
36,3,0.78800935
36,4,0.76445216
36,5,0.81054896
36,6,0.6262159
36,7,0.87283087
36,8,0.9358542999999999
36,9,0.7558076
36,10,0.59479284
36,11,0.6560638000000001
36,12,0.65189797
36,13,0.908434
36,14,0.88859785
36,15,0.81498563
37,0,0.35717237
37,1,0.25107852
37,2,0.17911382
37,3,0.32253426
37,4,0.16488695
37,5,0.36642143
37,6,0.12840848
37,7,0.35815758
37,8,0.34819308
37,9,0.1018916
37,10,0.11901954599999999
37,11,0.10212428
37,12,0.14983670000000002
37,13,0.35782167
37,14,0.46478382
37,15,0.35666525
38,0,0.8751726000000001
38,1,0.70539325
38,2,0.43791574
38,3,0.8446024999999999
38,4,0.797734
38,5,0.85716665
38,6,0.4345054
38,7,0.96543735
38,8,0.9519863000000002
38,9,0.75739074
38,10,0.6425396
38,11,0.6682894
38,12,0.61077267
38,13,0.9455584999999999
38,14,0.91809624
38,15,0.83429086
39,0,0.5539678000000001
39,1,0.4393786
39,2,0.29811057
39,3,0.4481853
39,4,0.5095651
39,5,0.4964736
39,6,0.41799116
39,7,0.57066363
39,8,0.60757166
39,9,0.42967972
39,10,0.519885
39,11,0.47159338
39,12,0.4423985
39,13,0.58847666
39,14,0.50059074
39,15,0.50101686
40,0,0.84423923
40,1,0.6853696
40,2,0.38394496
40,3,0.7434995
40,4,0.72479767
40,5,0.82136256
40,6,0.43013713
40,7,0.9066393
40,8,0.88169795
40,9,0.70442116
40,10,0.73025495
40,11,0.64272726
40,12,0.62379885
40,13,0.8647593000000001
40,14,0.86856633
40,15,0.74567395
41,0,0.74747026
41,1,0.6301148
41,2,0.44629532
41,3,0.7504392
41,4,0.65457284
41,5,0.664011
41,6,0.67667836
41,7,0.8151488
41,8,0.8748604
41,9,0.7192034
41,10,0.7385714
41,11,0.74173886
41,12,0.6422097
41,13,0.84819263
41,14,0.8567056000000001
41,15,0.70305353
42,0,0.68730676
42,1,0.4733044
42,2,0.34867132
42,3,0.49783299999999997
42,4,0.42462257
42,5,0.6757781
42,6,0.37551156
42,7,0.65021455
42,8,0.6503955
42,9,0.1977009
42,10,0.37230492
42,11,0.30736655
42,12,0.36627406
42,13,0.6531256999999999
42,14,0.7264318000000001
42,15,0.61140126
43,0,0.82045233
43,1,0.61072856
43,2,0.33816853
43,3,0.68822294
43,4,0.7059326
43,5,0.77511275
43,6,0.49417695
43,7,0.84519255
43,8,0.8931594999999999
43,9,0.7302218
43,10,0.61910164
43,11,0.46745512
43,12,0.62265366
43,13,0.8602388000000001
43,14,0.85998863
43,15,0.785168
44,0,0.8423040999999999
44,1,0.60083336
44,2,0.41812223
44,3,0.6807074000000001
44,4,0.57953966
44,5,0.76770014
44,6,0.6433525
44,7,0.8198453000000001
44,8,0.89768016
44,9,0.63892674
44,10,0.7045967
44,11,0.55129594
44,12,0.6174324000000001
44,13,0.86578256
44,14,0.9280384
44,15,0.76529056
45,0,0.8532202
45,1,0.7129113
45,2,0.4731154
45,3,0.69826555
45,4,0.7381694000000001
45,5,0.8224226999999998
45,6,0.6784376999999999
45,7,0.8982617
45,8,0.896726
